domain,ids,bandwidth,storage,incount,inbytes,outcount,outbytes,popcount,popbytes
  fbl.rightsissue, 20696 (20.21KB), 0, 14, 20696, 0, 0, 0, 0
  rajesh.save, 28002 (27.35KB), 0, 20, 28002, 0, 0, 0, 0
  customercare.eclf, 39656 (38.73KB), 0, 26, 39656, 0, 0, 0, 0
  efa.settlements, 112260 (109.63KB), 0, 15, 112260, 0, 0, 0, 0
  satish.joshi, 103998 (101.56KB), 0, 11, 103998, 0, 0, 0, 0
  hetal.patel, 4721 (4.61KB), 0, 6, 4721, 0, 0, 0, 0
  v_kpmb, 25828 (25.22KB), 0, 13, 25828, 0, 0, 0, 0
  bhargav.dalal, 30901 (30.18KB), 0, 14, 30901, 0, 0, 0, 0
  abhishek.agarwal, 1143455 (1.09MB), 0, 63, 1143455, 0, 0, 0, 0
  cipl, 26418 (25.80KB), 0, 15, 26418, 0, 0, 0, 0
  sion.sales1, 32895 (32.12KB), 0, 16, 32895, 0, 0, 0, 0
  hemant.bhoir, 18503 (18.07KB), 0, 10, 18503, 0, 0, 0, 0
  avash.patel, 27885 (27.23KB), 0, 11, 27885, 0, 0, 0, 0
  ramakant.gadde, 13212 (12.90KB), 0, 10, 13212, 0, 0, 0, 0
  mudassar.wagle, 111749 (109.13KB), 0, 15, 111749, 0, 0, 0, 0
  praveen.gurwani, 109133 (106.58KB), 0, 13, 109133, 0, 0, 0, 0
  ashishs.gupta, 20354 (19.88KB), 0, 15, 20354, 0, 0, 0, 0
  ajit.dhillon, 24018 (23.46KB), 0, 9, 24018, 0, 0, 0, 0
  tushar.mhatre, 53197 (51.95KB), 0, 14, 53197, 0, 0, 0, 0
  bsg.support, 38666 (37.76KB), 0, 14, 38666, 0, 0, 0, 0
  s.ranganathan, 34155 (33.35KB), 0, 10, 34155, 0, 0, 0, 0
  v_anil.agarwal, 37546 (36.67KB), 0, 11, 37546, 0, 0, 0, 0
  efil.grievancecell, 58822 (57.44KB), 0, 16, 58822, 0, 0, 0, 0
  chitrang.gandhi, 58099 (56.74KB), 0, 17, 58099, 0, 0, 0, 0
  bankim.chandra, 36412 (35.56KB), 0, 12, 36412, 0, 0, 0, 0
  sonia.bhavnani, 42347 (41.35KB), 0, 16, 42347, 0, 0, 0, 0
  nilesh.adhyaru, 1682373 (1.60MB), 0, 59, 1682373, 0, 0, 0, 0
  m.shankarraaman, 229238 (223.87KB), 0, 14, 229238, 0, 0, 0, 0
  amit.agrawal, 36883 (36.02KB), 0, 18, 36883, 0, 0, 0, 0
  amra.khan, 787653 (769.19KB), 0, 22, 787653, 0, 0, 0, 0
  dsg, 25122 (24.53KB), 0, 16, 25122, 0, 0, 0, 0
  ceg.plus, 47680 (46.56KB), 0, 8, 47680, 0, 0, 0, 0
  barendra.kumar, 23444 (22.89KB), 0, 15, 23444, 0, 0, 0, 0
  gautam.shroff, 59592 (58.20KB), 0, 14, 59592, 0, 0, 0, 0
  awanti.kate, 43906 (42.88KB), 0, 14, 43906, 0, 0, 0, 0
  dinesh.maru, 91293 (89.15KB), 0, 14, 91293, 0, 0, 0, 0
  cas.risk, 44878 (43.83KB), 0, 13, 44878, 0, 0, 0, 0
  darshak.zatakia, 21238 (20.74KB), 0, 10, 21238, 0, 0, 0, 0
  parthasarathi.sahoo, 2348 (2.29KB), 0, 2, 2348, 0, 0, 0, 0
  hitesh.thakkar, 216093 (211.03KB), 0, 17, 216093, 0, 0, 0, 0
  stanley.varghese, 33744 (32.95KB), 0, 19, 33744, 0, 0, 0, 0
  arjun.mavinkurve, 22618 (22.09KB), 0, 13, 22618, 0, 0, 0, 0
  bsgtest, 24151 (23.58KB), 0, 16, 24151, 0, 0, 0, 0
  primebrokerage.services, 17669 (17.25KB), 0, 11, 17669, 0, 0, 0, 0
  blackdiamond, 27117 (26.48KB), 0, 14, 27117, 0, 0, 0, 0
  gauravs.mehta, 41693 (40.72KB), 0, 14, 41693, 0, 0, 0, 0
  converge2012, 59748 (58.35KB), 0, 12, 59748, 0, 0, 0, 0
  homeservices, 27722 (27.07KB), 0, 20, 27722, 0, 0, 0, 0
  dal.openoffer, 1073742 (1.02MB), 0, 47, 1073742, 0, 0, 0, 0
  branch.itops, 44853 (43.80KB), 0, 14, 44853, 0, 0, 0, 0
  jiya.ailani, 44834 (43.78KB), 0, 17, 44834, 0, 0, 0, 0
  viral.mehta, 32712 (31.95KB), 0, 14, 32712, 0, 0, 0, 0
  mukesh.sharma, 145533 (142.12KB), 0, 19, 145533, 0, 0, 0, 0
  manisha.pawar, 236533 (230.99KB), 0, 17, 236533, 0, 0, 0, 0
  equities.trading, 30118 (29.41KB), 0, 16, 30118, 0, 0, 0, 0
  rohit.dhundele, 111212 (108.61KB), 0, 17, 111212, 0, 0, 0, 0
  paresh.joshi, 35421 (34.59KB), 0, 16, 35421, 0, 0, 0, 0
  al.ipo, 30569 (29.85KB), 0, 13, 30569, 0, 0, 0, 0
  chinmay.borkar, 226201 (220.90KB), 0, 17, 226201, 0, 0, 0, 0
  coverage2, 36021 (35.18KB), 0, 14, 36021, 0, 0, 0, 0
  coverage1, 36253 (35.40KB), 0, 10, 36253, 0, 0, 0, 0
  ivbl.wg, 2608 (2.55KB), 0, 1, 2608, 0, 0, 0, 0
  polly.maliyakal, 33881 (33.09KB), 0, 1, 33881, 0, 0, 0, 0
  shaily.gupta, 36998 (36.13KB), 0, 10, 36998, 0, 0, 0, 0
  fatima.dmello, 32573 (31.81KB), 0, 16, 32573, 0, 0, 0, 0
  ravi.bubna, 73345 (71.63KB), 0, 19, 73345, 0, 0, 0, 0
  chintan.parekh, 38496 (37.59KB), 0, 10, 38496, 0, 0, 0, 0
  hari.sharma, 14742 (14.40KB), 0, 8, 14742, 0, 0, 0, 0
  hemant.daga, 104080 (101.64KB), 0, 20, 104080, 0, 0, 0, 0
  pragnesh.patel, 2833844 (2.70MB), 0, 18, 2833844, 0, 0, 0, 0
  pooja.gandhi, 2342 (2.29KB), 0, 2, 2342, 0, 0, 0, 0
  punit.gangdev, 115895 (113.18KB), 0, 16, 115895, 0, 0, 0, 0
  nikhil.sharma, 47373 (46.26KB), 0, 10, 47373, 0, 0, 0, 0
  nitin.dedhia, 6533045 (6.23MB), 0, 91, 6533045, 0, 0, 0, 0
  ashish.gupta, 2148061 (2.05MB), 0, 85, 2148061, 0, 0, 0, 0
  ketan.shaah, 37538 (36.66KB), 0, 9, 37538, 0, 0, 0, 0
  mohanlal.medatiya, 132151 (129.05KB), 0, 14, 132151, 0, 0, 0, 0
  corppoa, 20982 (20.49KB), 0, 13, 20982, 0, 0, 0, 0
  amar.mishra, 87035 (85.00KB), 0, 23, 87035, 0, 0, 0, 0
  ajay.chauhan, 45633 (44.56KB), 0, 16, 45633, 0, 0, 0, 0
  edelweiss.pcg, 17854 (17.44KB), 0, 8, 17854, 0, 0, 0, 0
  edelweissquotes, 377194 (368.35KB), 0, 24, 377194, 0, 0, 0, 0
  vipul.trivedi, 40363 (39.42KB), 0, 13, 40363, 0, 0, 0, 0
  vileparle, 106463 (103.97KB), 0, 14, 106463, 0, 0, 0, 0
  sakib.hussain, 706625 (690.06KB), 0, 295, 706625, 0, 0, 0, 0
  gaurav.agrawal, 42092 (41.11KB), 0, 16, 42092, 0, 0, 0, 0
  edelweiss, 67559 (65.98KB), 0, 24, 67559, 0, 0, 0, 0
  atul.goyal, 125090 (122.16KB), 0, 16, 125090, 0, 0, 0, 0
  bms.admin, 24570 (23.99KB), 0, 11, 24570, 0, 0, 0, 0
  wmg-mis, 35776 (34.94KB), 0, 17, 35776, 0, 0, 0, 0
  bimbsar.singh, 48726 (47.58KB), 0, 15, 48726, 0, 0, 0, 0
  softdollars, 31364 (30.63KB), 0, 17, 31364, 0, 0, 0, 0
  hiral.shah, 23117 (22.58KB), 0, 9, 23117, 0, 0, 0, 0
  sachin.chaurasia, 38773 (37.86KB), 0, 13, 38773, 0, 0, 0, 0
  khalid.ansari, 32266 (31.51KB), 0, 12, 32266, 0, 0, 0, 0
  magnus, 651095 (635.83KB), 0, 12, 651095, 0, 0, 0, 0
  d.naresh, 30484 (29.77KB), 0, 18, 30484, 0, 0, 0, 0
  ajay.saraogi, 125442 (122.50KB), 0, 17, 125442, 0, 0, 0, 0
  gyan.jaiswal, 21582850 (20.58MB), 0, 23, 21582850, 0, 0, 0, 0
  priyanka.tusnial, 42602 (41.60KB), 0, 15, 42602, 0, 0, 0, 0
  vishal.ved, 91208 (89.07KB), 0, 15, 91208, 0, 0, 0, 0
  veena.dsouza, 30805 (30.08KB), 0, 15, 30805, 0, 0, 0, 0
  apex, 17569 (17.16KB), 0, 8, 17569, 0, 0, 0, 0
  cebbco.ipo, 155925 (152.27KB), 0, 24, 155925, 0, 0, 0, 0
  robin.chheda, 12403 (12.11KB), 0, 10, 12403, 0, 0, 0, 0
  rajiv.jhaveri, 61881 (60.43KB), 0, 18, 61881, 0, 0, 0, 0
  perin.ali, 891124 (870.24KB), 0, 58, 891124, 0, 0, 0, 0
